id,opeid,year,loan_default_rate
413,25349,2011,21.5
414,38425,2011,26.6
415,5752,2011,18.7
416,3801,2011,24.6
417,1289,2011,18.2
418,25171,2011,13
419,3204,2011,22
420,7598,2011,34.1
421,2402,2011,19.4
422,1334,2011,20.4
423,1217,2011,30.8
424,543,2011,24.5
425,34453,2011,16.3
426,39696,2011,23.7
427,764,2011,26.2
428,7678,2011,24.1
429,1122,2011,19.6
430,3189,2011,22.9
431,41514,2011,17.3
432,3119,2011,27.7
433,3998,2011,23.9
434,21163,2011,27.2
435,31158,2011,25.1
436,10997,2011,22.6
437,5599,2011,0
438,38044,2011,25
439,3582,2011,18.5
440,30079,2011,29.3
441,31593,2011,31.6
442,41308,2011,23.5
443,2362,2011,21
444,2274,2011,21.6
445,3283,2011,18.6
446,2297,2011,15.1
447,32804,2011,29.4
448,36274,2011,25.2
449,41203,2011,34
450,21782,2011,28.2
451,26164,2011,22.1
452,21077,2011,20.5
453,129,2011,19.2
454,128,2011,28.5
455,1335,2011,24.6
456,35433,2011,29.3
457,5306,2011,18.1
458,23485,2011,25
459,1545,2011,21.3
460,2276,2011,25.8
461,31281,2011,25.8
462,2919,2011,22
463,1118,2011,27.7
464,38163,2011,20.5
465,41519,2011,19.5
466,20543,2011,22.4
467,41324,2011,31.5
468,26167,2011,26.4
469,3936,2011,26.2
470,3999,2011,18
471,2426,2011,26.3
472,21408,2011,30.2
473,2433,2011,23.7
474,1344,2011,37.1
475,33273,2011,36.2
476,21603,2011,25.6
477,5498,2011,20
478,1848,2011,23.5
479,41657,2011,20
480,2137,2011,18.1
481,41411,2011,22.6
482,1076,2011,18.1
483,2074,2011,26.2
484,6768,2011,17.3
485,20693,2011,18.7
486,1681,2011,24.1
487,34096,2011,34.4
488,25864,2011,11.7
489,41927,2011,0
490,2116,2011,20.3
491,11046,2011,23.5
492,5378,2011,23.9
493,5697,2011,26.3
494,2404,2011,24.6
495,4033,2011,17.6
496,901,2011,18.4
497,38853,2011,26
498,3602,2011,22.6
499,7266,2011,20.6
500,2484,2011,18
501,2468,2011,21.8
502,8862,2011,21.3
503,10363,2011,22
504,10858,2011,20.5
505,3928,2011,21.5
506,4743,2011,26.7
507,2189,2011,19.8
508,21661,2011,19.1
509,30107,2011,30.5
510,23623,2011,16.6
511,30314,2011,26.6
512,4925,2011,20.8
513,3583,2011,22.3
514,5022,2011,16.4
515,30151,2011,18.3
516,21822,2011,29.1
517,41515,2011,38.8
518,304,2011,26.3
519,4878,2011,18.7
520,1113,2011,26.9
521,23397,2011,16.1
522,8543,2011,0
523,21585,2011,21.8
524,7491,2011,23.4
525,3574,2011,26.4
526,288,2011,17.4
527,41625,2011,13.1
528,31555,2011,0
529,25728,2011,10.3
530,2154,2011,17
531,23141,2011,22.8
532,712,2011,28.7
533,3773,2011,19
534,30353,2011,20.6
535,22482,2011,25
536,266,2011,22.7
537,22375,2011,24.5
538,1103,2011,16.4
539,1242,2011,23.3
540,41552,2011,20
541,20565,2011,21.8
542,37303,2011,32.8
543,8303,2011,17.3
544,2479,2011,25.4
545,25889,2011,20
546,3784,2011,15.2
547,5223,2011,18.7
548,224,2011,20.4
549,2355,2011,25.4
550,41414,2011,16
551,41113,2011,20
552,34567,2011,18.3
553,30893,2011,23.9
554,21884,2011,22.2
555,35614,2011,12
556,41602,2011,0
557,492,2011,16.5
558,40386,2011,24.6
559,1223,2011,22.6
560,41265,2011,55.7
561,34684,2011,9.7
562,10633,2011,17.6
563,1619,2011,23.9
564,1233,2011,20.6
565,10487,2011,0
566,1015,2011,25
567,2263,2011,17.7
568,7096,2011,36.8
569,22695,2011,13
570,7287,2011,18.4
571,491,2011,26.1
572,7582,2011,25
573,2915,2011,0
574,10736,2011,24.4
575,5618,2011,0
576,1648,2011,0
577,8552,2011,18.6
578,22208,2011,0
579,38193,2011,13
580,2405,2011,22.3
581,9618,2011,21.1
582,1493,2011,18.7
583,4453,2011,17.2
584,2664,2011,28.3
585,21802,2011,24.8
586,795,2011,22.6
587,32103,2011,25.9
588,10345,2011,21.9
589,1865,2011,22.4
590,4666,2011,11.7
591,40373,2011,17
592,12105,2011,23.8
593,538,2011,18.5
594,3994,2011,18.9
595,11166,2011,21.7
596,1275,2011,20.9
597,1199,2011,15.8
598,344801,2011,16.9
599,22456,2011,29.7
600,36276,2011,12.7
601,96,2011,14.6
602,8873,2011,15.6
603,1046,2011,0
604,10632,2011,21.5
605,10111,2011,19.6
606,41926,2011,0
607,23531,2011,6
608,79,2011,9.8
609,20561,2011,3.2
610,3759,2011,19
611,22898,2011,25.9
612,5387,2011,14
613,851,2011,17.7
614,1368,2011,26.9
615,12064,2011,21.9
616,2278,2011,31.8
617,3674,2011,27.1
618,3793,2011,27.3
619,2341,2011,12.2
620,42118,2011,20.2
621,21066,2011,17.1
622,22724,2011,17
623,322,2011,16.5
624,31203,2011,26.3
625,2299,2011,16.6
626,2151,2011,26
627,36813,2011,18.3
628,9466,2011,25.6
629,2572,2011,12.8
630,30306,2011,19.7
631,448,2011,17.1
632,9795,2011,18.3
633,31043,2011,21.7
634,1197,2011,20.6
635,6977,2011,16.9
636,23363,2011,15.3
637,21451,2011,37.8
638,10861,2011,19.2
639,41177,2011,11.1
640,25204,2011,28.5
641,7658,2011,33.8
642,2657,2011,19.9
643,25693,2011,26.7
644,147,2011,17.2
645,2861,2011,24.9
646,354,2011,22.3
647,11167,2011,23.1
648,2317,2011,32.7
649,1901,2011,23.4
650,1091,2011,18.4
651,5448,2011,0
652,41572,2011,32.4
653,41153,2011,19.6
654,227,2011,25.2
655,3866,2011,19.7
656,4625,2011,17.7
657,2871,2011,17.3
658,243,2011,22
659,3809,2011,26.8
660,6819,2011,17.4
661,3501,2011,19
662,3561,2011,19.6
663,1282,2011,14.1
664,37233,2011,22
665,4158,2011,22.3
666,4924,2011,23.9
667,41402,2011,17.3
668,2615,2011,19.6
669,4507,2011,21.8
670,6835,2011,22.6
671,2936,2011,27.4
672,10453,2011,22.8
673,20836,2011,16.8
674,13016,2011,26.7
675,3504,2011,21.7
676,377,2011,23
677,4988,2011,0
678,23441,2011,16.1
679,1266,2011,10.8
680,8955,2011,20.2
681,6755,2011,19.2
682,40513,2011,24.6
683,23621,2011,19.7
684,6867,2011,21.3
685,22187,2011,14.4
686,2302,2011,18.4
687,2459,2011,21.5
688,5624,2011,0
689,8503,2011,16.5
690,2052,2011,26.7
691,8596,2011,20
692,866,2011,0
693,22001,2011,37.1
694,6973,2011,12.5
695,1202,2011,16.8
696,41842,2011,0
697,25183,2011,35.4
698,358,2011,22.7
699,2408,2011,22.2
700,23262,2011,23.8
701,7111,2011,21.5
702,3546,2011,23.4
703,5384,2011,18.8
704,31275,2011,18.7
705,21245,2011,28.9
706,12989,2011,24.1
707,41673,2011,6.6
708,11145,2011,14.5
709,3626,2011,20.1
710,1504,2011,21.3
711,4598,2011,20.1
712,9942,2011,21.3
713,25256,2011,21.3
714,31804,2011,16.7
715,10771,2011,15.3
716,4845,2011,0
717,747,2011,24.8
718,106,2011,16.2
719,34244,2011,15.3
720,231,2011,13.7
721,1273,2011,28
722,5277,2011,15.2
723,39633,2011,13
724,7329,2011,22.1
725,21005,2011,19.5
726,21207,2011,22.8
727,20753,2011,22.7
728,30633,2011,14.5
729,111,2011,25.1
730,7871,2011,21.3
731,41223,2011,0
732,21801,2011,17.7
733,1161,2011,14.7
734,38713,2011,19.4
735,26095,2011,18.7
736,8038,2011,11.7
737,1095,2011,22.6
738,41307,2011,20.4
739,30106,2011,22.2
740,3213,2011,16.5
741,2409,2011,25.4
742,31563,2011,17.4
743,6785,2011,23.6
744,7437,2011,20.9
745,1433,2011,16.4
746,7644,2011,24.9
747,22537,2011,28.9
748,38385,2011,39.2
749,4481,2011,16.1
750,9157,2011,16.8
751,1571,2011,16
752,8145,2011,20.4
753,4642,2011,22.4
754,4075,2011,21
755,2251,2011,18.6
756,676,2011,22.7
757,4502,2011,21.1
758,2413,2011,22.2
759,2411,2011,21.9
760,3766,2011,28.4
761,5245,2011,15.8
762,2167,2011,17.3
763,576,2011,15.2
764,3637,2011,26.6
765,8228,2011,11.5
766,41549,2011,9.7
767,40143,2011,15.2
768,31163,2011,16.8
769,7047,2011,66.6
770,37463,2011,30.7
771,12672,2011,12.5
772,34334,2011,9.7
773,30307,2011,21.6
774,2362,2011,21.6
775,30108,2011,13.6
776,3157,2011,25.5
777,539,2011,19.9
778,23427,2011,12
779,41851,2011,0
780,31045,2011,23.1
781,31091,2011,20.3
782,41506,2011,18.7
783,22092,2011,0
784,152,2011,18
785,2328,2011,21.4
786,21171,2011,22.8
787,7316,2011,24.3
788,1226,2011,20.1
789,1124,2011,17.4
790,256,2011,18.3
791,8494,2011,18.7
792,1111,2011,27.9
793,41503,2011,43.3
794,32364,2011,38.1
795,2678,2011,24.4
796,3991,2011,17.5
797,8304,2011,16.1
798,24911,2011,24.8
799,2277,2011,33.2
800,7536,2011,19.6
801,3596,2011,18.9
802,30153,2011,18.8
803,1224,2011,16.4
804,25259,2011,10.2
805,41581,2011,33.3
806,1285,2011,17
807,5313,2011,26.2
808,1877,2011,20.2
809,6815,2011,21.4
810,3158,2011,29.8
811,1875,2011,28.7
812,6787,2011,16.1
813,154,2011,16.7
814,3447,2011,18.2
815,5019,2011,22.7
816,38393,2011,4
817,41241,2011,25.2
818,8896,2011,22
819,359,2011,23.3
820,4692,2011,22.1
821,8677,2011,21.9
822,2916,2011,20.7
823,25336,2011,16
824,12813,2011,15.7
825,40165,2011,19.5
826,32753,2011,16.1
827,12015,2011,20.8
828,3068,2011,20.3
829,6753,2011,26.3
830,2863,2011,26.3
831,2424,2011,15.9
832,2489,2011,10
833,191,2011,17.9
834,8076,2011,20.1
835,39104,2011,13.1
836,5008,2011,20.5
837,20661,2011,41.1
838,23382,2011,36.2
839,25738,2011,6.3
840,21109,2011,22.3
841,40933,2011,19
842,1843,2011,19.7
843,9744,2011,15.9
844,1471,2011,25.4
845,2339,2011,18.1
846,11864,2011,28.6
847,1921,2011,25.3
848,3553,2011,17.4
849,40393,2011,27.9
850,3106,2011,23.1
851,9928,2011,17
852,3933,2011,17.8
853,11481,2011,13.1
854,1728,2011,18.8
855,21562,2011,8.9
856,39993,2011,21.4
857,22512,2011,16.2
858,1917,2011,5.5
859,1475,2011,24.7
860,21006,2011,21.3
861,2962,2011,18.2
862,1652,2011,16.6
863,1201,2011,19.6
864,7779,2011,21.6
865,1669,2011,18.2
866,2541,2011,22.5
867,1612,2011,18.7
868,1308,2011,39.3
869,4743,2011,
870,9892,2011,18
871,30115,2011,15
872,5622,2011,0
873,6804,2011,22.4
874,2862,2011,16.4
875,2396,2011,15.7
876,32723,2011,25.7
877,36614,2011,0
878,39883,2011,22.2
879,41711,2011,7.6
880,41299,2011,21.7
881,39213,2011,18.9
882,41703,2011,0
883,22787,2011,22.9
884,31038,2011,30.3
885,6938,2011,20
886,4003,2011,20.7
887,2006,2011,16.2
888,32783,2011,16.2
889,3805,2011,16.1
890,149,2011,20.9
891,5621,2011,0
892,7351,2011,19.5
893,2879,2011,27.8
894,4549,2011,17.5
895,1026,2011,22
896,30816,2011,9.3
897,21549,2011,0
898,3611,2011,16.5
899,9914,2011,17.2
900,1968,2011,28.6
901,7686,2011,19.5
902,376,2011,19.2
903,7781,2011,26.7
904,3554,2011,27.3
905,3524,2011,25.4
906,22859,2011,17.7
907,37503,2011,24.6
908,22978,2011,15
909,41264,2011,20.6
910,23492,2011,23.5
911,41844,2011,0
912,10652,2011,20.3
913,303,2011,11.5
914,7171,2011,11
915,1193,2011,20.3
916,10056,2011,0
917,1294,2011,21.8
918,31152,2011,14
919,32183,2011,15.7
920,2499,2011,15.7
921,22119,2011,13.1
922,40013,2011,10.9
923,41256,2011,24.6
924,38553,2011,23.4
925,31103,2011,18.4
926,38223,2011,16.6
927,33683,2011,23.2
928,12362,2011,16.3
929,3172,2011,22.1
930,26175,2011,14.3
931,35904,2011,27.8
932,8855,2011,27.3
933,2356,2011,23.5
934,23112,2011,32.7
935,41327,2011,22.7
936,13029,2011,12.1
937,10319,2011,12.1
938,10362,2011,20.2
939,3609,2011,16.8
940,33583,2011,20
941,22018,2011,23.4
942,2651,2011,20
943,2294,2011,15.8
944,32963,2011,19.4
945,20774,2011,15.5
946,1362,2011,25.5
947,3603,2011,16.9
948,8659,2011,0
949,33563,2011,15.4
950,30235,2011,20.8
951,21434,2011,27.5
952,8645,2011,21.3
953,1028,2011,27.8
954,36463,2011,24.4
955,30282,2011,8.8
956,41776,2011,0
957,8864,2011,15.7
958,7532,2011,15.2
959,34223,2011,24.6
960,6788,2011,21.4
961,357,2011,25.2
962,5276,2011,13.3
963,23582,2011,23.1
964,30611,2011,13.9
965,22584,2011,13.2
966,41919,2011,0
967,4156,2011,4.1
968,22758,2011,20
969,2491,2011,22.6
970,4926,2011,30.9
971,23616,2011,20.5
972,2335,2011,19
973,23063,2011,19.2
974,2926,2011,22.9
975,104,2011,22.6
976,20983,2011,13.4
977,20896,2011,14
978,31004,2011,21.9
979,1857,2011,21.4
980,151,2011,14.7
981,778,2011,18.4
982,12088,2011,25.8
983,5264,2011,11.9
984,1261,2011,20.9
985,22381,2011,15.9
986,22039,2011,26.7
987,41469,2011,28.2
988,37834,2011,19.6
989,2917,2011,0
990,22675,2011,18.1
991,38273,2011,17.9
992,2303,2011,17
993,9763,2011,26.1
994,3446,2011,22.6
995,3563,2011,19.7
996,9412,2011,11.1
997,7669,2011,13.4
998,2557,2011,12.1
999,2183,2011,21.8
1000,21662,2011,15.8
1001,318,2011,13.2
1002,1186,2011,19.5
1003,40673,2011,15.5
1004,41209,2011,12.8
1005,3494,2011,37.9
1006,23502,2011,14
1007,12295,2011,6.8
1008,41949,2011,16.5
1009,26142,2011,20.9
1010,1013,2011,23.4
1011,6782,2011,15.9
1012,24955,2011,18
1013,1784,2011,22.1
1014,8597,2011,21.1
1015,7839,2011,15.2
1016,22306,2011,26.5
1017,1086,2011,13.6
1018,41054,2011,30.5
1019,26071,2011,17.7
1020,30842,2011,19.4
1021,20618,2011,14.5
1022,25312,2011,11.9
1023,9185,2011,21
1024,315,2011,19.3
1025,9544,2011,24.6
1026,3668,2011,13.4
1027,2869,2011,19
1028,329,2011,23.3
1029,1513,2011,15.5
1030,34343,2011,14.7
1031,3813,2011,21.7
1032,3931,2011,13.6
1033,1269,2011,12.3
1034,41494,2011,11.8
1035,7187,2011,23.1
1036,10406,2011,7.7
1037,1181,2011,11.5
1038,3145,2011,20.3
1039,12586,2011,18
1040,1005,2011,19.1
1041,249,2011,16.5
1042,10027,2011,20.1
1043,25412,2011,13.8
1044,12165,2011,18.9
1045,474,2011,21.7
1046,30432,2011,18.9
1047,1361,2011,25.5
1048,9826,2011,21.4
1049,9032,2011,16.4
1050,22637,2011,22.3
1051,22796,2011,12.4
1052,927,2011,22.3
1053,1566,2011,24.2
1054,26236,2011,20.2
1055,378,2011,22.2
1056,23519,2011,23.2
1057,4938,2011,18.5
1058,4999,2011,24.3
1059,1747,2011,19.7
1060,3711,2011,12.8
1061,2087,2011,23.1
1062,164,2011,15.6
1063,20735,2011,26.9
1064,8635,2011,28.6
1065,1557,2011,12.7
1066,1643,2011,18.2
1067,41423,2011,17.5
1068,952,2011,19.3
1069,21796,2011,30.4
1070,1013,2011,10.4
1071,1239,2011,11.2
1072,1522,2011,16.3
1073,22281,2011,16.2
1074,2269,2011,13.5
1075,11744,2011,23.3
1076,41169,2011,29.4
1077,41499,2011,34.3
1078,41013,2011,33.3
1079,34754,2011,23
1080,30961,2011,9.7
1081,21328,2011,29.4
1082,7204,2011,12.5
1083,37764,2011,3.2
1084,787,2011,14.5
1085,10779,2011,21.7
1086,1002,2011,16.3
1087,1107,2011,18.1
1088,30344,2011,17
1089,6836,2011,22.7
1090,1228,2011,18.8
1091,36506,2011,7.5
1092,23182,2011,23.6
1093,6865,2011,15
1094,2427,2011,19.6
1095,3956,2011,20.3
1096,11667,2011,11.2
1097,21921,2011,12.4
1098,41833,2011,0
1099,41192,2011,39
1100,20814,2011,11.8
1101,10266,2011,15.1
1102,42031,2011,0
1103,1519,2011,22.7
1104,10391,2011,21
1105,159,2011,20.6
1106,1467,2011,16.8
1107,3162,2011,24.1
1108,20757,2011,15.1
1109,21323,2011,8.8
1110,41194,2011,18.2
1111,5535,2011,25.8
1112,37773,2011,31.5
1113,30185,2011,12.1
1114,12293,2011,11.2
1115,22063,2011,14.7
1116,21924,2011,18.1
1117,31082,2011,13.4
1118,31269,2011,9
1119,1528,2011,21.9
1120,3249,2011,17.4
1121,3231,2011,15.3
1122,4619,2011,24.3
1123,4452,2011,15
1124,30722,2011,21.1
1125,22539,2011,22.9
1126,23122,2011,24.5
1127,2074,2011,12.4
1128,4618,2011,24.6
1129,1582,2011,24.7
1130,3996,2011,17.7
1131,3808,2011,17.9
1132,41431,2011,19.6
1133,2995,2011,13.9
1134,37633,2011,23
1135,41472,2011,8.6
1136,22427,2011,15.5
1137,37485,2011,33.3
1138,4146,2011,12.8
1139,39443,2011,11.1
1140,41273,2011,0
1141,8871,2011,12.9
1142,7549,2011,22.9
1143,10364,2011,14.3
1144,22378,2011,19.2
1145,2951,2011,20.2
1146,5372,2011,20.9
1147,21536,2011,17.6
1148,1484,2011,17.7
1149,3993,2011,14.4
1150,21907,2011,15.1
1151,12693,2011,19.6
1152,34803,2011,13.7
1153,30838,2011,22.3
1154,1044,2011,22
1155,25561,2011,8.2
1156,31444,2011,17.9
1157,41732,2011,0
1158,3796,2011,13.3
1159,21571,2011,16
1160,23263,2011,12.4
1161,1523,2011,12.8
1162,1006,2011,16.4
1163,8863,2011,19.7
1164,1909,2011,22.8
1165,2601,2011,14.2
1166,1031,2011,22.6
1167,5339,2011,17.8
1168,126,2011,31.3
1169,4947,2011,29.5
1170,12182,2011,14.9
1171,32243,2011,13.8
1172,41784,2011,0
1173,13039,2011,23.1
1174,21584,2011,23.1
1175,4595,2011,20.3
1176,2874,2011,15.7
1177,25943,2011,25.4
1178,4004,2011,17.1
1179,3776,2011,11.4
1180,30987,2011,22.1
1181,3156,2011,25.1
1182,32533,2011,9.6
1183,41474,2011,9.7
1184,3067,2011,18.3
1185,4844,2011,14
1186,6656,2011,13.4
1187,4992,2011,23.6
