UNITID,XBAREVCT,BAREVCT,XBAEXCLU,BAEXCLU,XBAAC150,BAAC150,XBANC100,BANC100,XBAGR100,BAGR100,XBANC150,BANC150,XBAGR150,BAGR150,XBAAEXCL,BAAEXCL,XBAAC200,BAAC200,XBANC20A,BANC200A,XBASTEND,BASTEND,XBANC200,BANC200,XBAGR200,BAGR200,XL4REVCT,L4REVCT,XL4EXCLU,L4EXCLU,XL4AC150,L4AC150,XL4NC100,L4NC100,XL4GR100,L4GR100,XL4NC150,L4NC150,XL4GR150,L4GR150,XL4AEXCL,L4AEXCL,XL4AC200,L4AC200,XL4NC20A,L4NC200A,XL4STEND,L4STEND,XL4NC200,L4NC200,XL4GR200,L4GR200
117733,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,919,R,0,R,919,R,43,R,5,R,166,R,18,R,0,R,919,R,81,R,215,R,247,R,27
117751,R,185,R,0,R,185,R,89,R,48,R,104,R,56,Z,0,R,185,Z,0,Z,0,R,104,R,56,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
117788,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,620,R,0,R,620,R,19,R,3,R,86,R,14,R,0,R,620,R,56,R,107,R,142,R,23
117867,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,565,R,0,R,565,R,10,R,2,R,66,R,12,R,0,R,565,R,52,R,119,R,118,R,21
117894,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,599,R,0,R,599,R,48,R,8,R,180,R,30,R,0,R,599,R,59,R,100,R,239,R,40
117928,R,211,R,1,R,210,R,43,R,20,R,73,R,35,R,0,R,210,R,3,R,0,R,76,R,36,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
117946,R,1262,R,2,R,1260,R,833,R,66,R,947,R,75,R,0,R,1260,R,17,R,1,R,964,R,77,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
117955,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,64,R,0,R,64,R,22,R,34,R,51,R,80,Z,0,R,64,Z,0,Z,0,R,51,R,80
118116,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,12,R,0,R,12,R,6,R,50,R,7,R,58,Z,0,R,12,Z,0,Z,0,R,7,R,58
118125,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,13,R,0,R,13,R,6,R,46,R,8,R,62,Z,0,R,13,Z,0,Z,0,R,8,R,62
