"UNITID","privateprofit_total_salary_wage","private_nonprofit_total_salary_wage","public_total_salary_wage"
"210076","8166160",NULL,NULL
"210100","366560",NULL,NULL
"210340","414079",NULL,NULL
"210359","1880380",NULL,NULL
"210474","339768",NULL,NULL
"210483","1789751",NULL,NULL
"210599","2382109",NULL,NULL
"210711","376187",NULL,NULL
"210748","266110",NULL,NULL
"210784","830952",NULL,NULL
"210890","1205798",NULL,NULL
"210906","4339826",NULL,NULL
"210942","13920389",NULL,NULL
"210951","1018664",NULL,NULL
"210960","10420586",NULL,NULL
"211006","3103172",NULL,NULL
"211200","2411613",NULL,NULL
"211316","408050",NULL,NULL
"211334","226000",NULL,NULL
"211398","867158",NULL,NULL
"211477","9087049",NULL,NULL
"211617","3659631",NULL,NULL
"211820","828783",NULL,NULL
"211909","455539",NULL,NULL
"212045","2625519",NULL,NULL
"212072","1549425",NULL,NULL
"212090","2588839",NULL,NULL
"212212","136324",NULL,NULL
"212230","141706",NULL,NULL
"212267","331543",NULL,NULL
"212276","319502",NULL,NULL
"212285","195859",NULL,NULL
"212294","229174",NULL,NULL
"212300","214895",NULL,NULL
"212328","430532",NULL,NULL
"212337","478686",NULL,NULL
"212355","458522",NULL,NULL
"212373","325738",NULL,NULL
"212382","415229",NULL,NULL
"212391","380870",NULL,NULL
"212434","1665396",NULL,NULL
"212683","311011",NULL,NULL
"212708","444731",NULL,NULL
"212753","549040",NULL,NULL
"212993","494997",NULL,NULL
"213002","3439445",NULL,NULL
"213181","3036725",NULL,NULL
"213215","545070",NULL,NULL
"213330","82150",NULL,NULL
"213455","563343",NULL,NULL
"213473","1883774",NULL,NULL
"213491","231621",NULL,NULL
"213534","4343440",NULL,NULL
"213552","182101",NULL,NULL
"213570","2612775",NULL,NULL
"213589","1641681",NULL,NULL
"213914","1510906",NULL,NULL
"213932","1263503",NULL,NULL
"214254","3278456",NULL,NULL
"214290","3599868",NULL,NULL
"214546","277862",NULL,NULL
"214838","390392",NULL,NULL
"214892","1849524",NULL,NULL
"214944","5997988",NULL,NULL
"214962","182808",NULL,NULL
"215008","430193",NULL,NULL
"215026","240346",NULL,NULL
"215044","820928",NULL,NULL
"215336","454387",NULL,NULL
"215415","15824480",NULL,NULL
"215433","6604332",NULL,NULL
"215530","208893",NULL,NULL
"215637","4169400",NULL,NULL
"215646","2603585",NULL,NULL
"215992","1010844",NULL,NULL
"216074","421553",NULL,NULL
"216083","5531006",NULL,NULL
"216223","330493",NULL,NULL
