"UNITID","ARANK","SAOUTLT","non_inst_acad_staff_salary_research_outlay","non_inst_acad_staff_salary_pubservice_outlay","non_inst_acad_staff_salary_other_outlay","admin_profstaff_salary_mgmt_outlay","admin_profstaff_salary_business_outlay","admin_profstaff_salary_compeng_outlay","admin_profstaff_salary_community_outlay","admin_profstaff_salary_technical_outlay","nonadmin_servicestaffsalary_outlay","nonadmin_servicestaffsalary_salaryoutlay","admin_profstaff_salary_ofcadmin_outlay","nonadmin_servicestaffsalary_construction_outlay","nonadmin_servicestaffsalary_production_outlay","HRTOTLT","admin_profstaff_management","admin_profstaff_business","admin_profstaff_comp","admin_profstaff_comunityservice","admin_profstaff_healthcare","admin_profstaff_ofcadmin","non_instn_acad_staff_research","non_instn_acad_staff_pub_service","non_instn_acad_staff_library","instruction_staff","non_admin_service_staff_service","non_admin_service_staff_sales","non_admin_service_staff_resource","non_admin_service_staff_prod","instructors_per_thousand_student","admin_professional_staff","admin_professionalstaff_perthousandstudent","noninstruction_academicstaff","noninstruction_academicstaff_perthousandstudent","nonadmin_trade_servicestaff","nonadmin_tradeservicestaff_perthousandstudent","all_instructors_staff","instructor_salarypermillion","adminprofessionalstaff_salarypermillion","noninstruction_academicstaff_salarypermillion","nonadmin_tradeservicestaff_salarypermillion"
"212160","7","25383435","0","0","1034885","3427190","4525195","621909","2190517","416267","2868431","0","3048664","1245968","157907","788","31","81","12","31","7","85","0","0","19","316","88","0","31","5","36","247","28","19","2","124","14","706","467059","63758","19042","78611"
"212197","7","9739648","0","0","960253","3485382","1323457","880745","976572","85340","2650263","322866","1928637","855129","0","605","36","26","15","20","2","64","0","0","21","133","95","8","22","0","68","163","84","21","11","125","64","442","365201","75520","36006","143546"
"212425","7","275900","0","0","233165","325061","52530","45000","0","0","24960","101500","79960","0","0","51","3","1","1","0","0","3","0","0","5","8","1","3","0","0",,"8",,"5",,"4",,"25",,,,
"212434","7","777948","0","0","0","145400","30750","0","0","0","0","0","231697","0","0","31","2","1","0","0","0","7","0","0","0","19","0","0","0","0","44","10","23","0","0","0","0","29",,,,
"212443","7","337781","0","0","48181","142902","0","0","0","0","33041","0","44203","0","0","47","2","0","0","0","0","1","0","0","1","6","1","0","0","0",,"3",,"1",,"1",,"11","347070","45421","49506","33950"
"212452","7","56000","0","0","125000","198000","36000","36000","0","0","0","0","50000","0","0","34","3","1","1","0","0","1","0","0","5","4","0","0","0","0","19","6","28","5","24","0","0","15","174316","155655","389099","0"
"212577","7","16994379","0","0","1938671","7128535","4770261","1567367","2069516","157985","1114561","0","2828900","928060","119544","785","62","82","29","43","3","80","0","0","40","198","27","0","21","3","76","299","115","40","15","51","20","588","349842","61492","39909","44510"
"212601","7","13582484","0","0","1160474","5639253","892835","1006851","2387944","197791","1462314","24830","2840573","622112","62772","806","72","20","21","60","5","98","0","0","26","199","53","1","18","2","43","276","59","26","6","74","16","575","376946","84327","32206","60279"
"212656","7","5024612","0","0","1121757","2481680","601338","519005","920776","97344","528665","0","895233","451797","0","427","34","13","12","22","3","34","0","0","33","82","24","0","14","0","36","118","52","33","15","38","17","271","299624","59193","66892","58466"
"212674","7","18412717","0","0","1865026","7983009","2188578","2272810","2764820","462168","3795609","0","3427994","875484","134659","874","83","39","36","58","11","103","0","0","40","221","145","0","20","5","79","330","118","40","14","170","61","761","371851","78568","37665","97054"
"212771","7","329576","0","0","0","623185","45000","82000","0","0","0","0","267343","45967","0","33","6","1","2","0","0","7","0","0","0","5","0","0","2","0",,"16",,"0",,"2",,"23","130534","105889","0","18206"
"212832","7","4777083","0","0","883952","3683905","675905","827532","1495870","149159","1014524","0","1195409","327567","44347","572","41","13","15","36","4","34","0","0","25","75","35","0","8","2","25","143","48","25","8","45","15","288","252160","70979","46660","73184"
"212869","7","3252500","0","0","971600","1767300","194700","84750","110800","56000","0","0","1890000","460160","0","417","24","5","2","3","1","40","0","0","24","52","0","0","12","0","27","75","38","24","12","12","6","163","297731","178138","88939","42123"
