UNITID,carnegie_basic,carnegie_ug_program,carnegie_grad_program,carnegie_ug_profile,carnegie_enroll_profile,carnegie_size_setting,carnegie_classification2000
134680,30,-2,-2,-2,3,-2,56
134714,-3,-3,-3,-3,-3,-3,-3
134811,30,-2,-2,-2,3,-2,56
134909,28,-2,-2,-2,2,-2,54
134945,19,13,7,8,3,10,21
135063,22,15,-1,5,2,6,32
135081,23,2,2,6,3,15,40
135124,10,1,-1,4,1,2,-3
135142,-3,-3,-3,-3,-3,-3,-3
135160,2,1,-1,2,1,2,40
135179,-3,-3,-3,-3,-3,-3,-3
135188,5,1,-1,1,1,3,40
135267,-3,-3,-3,-3,-3,-3,-3
135276,-3,-3,-3,-3,-3,-3,-3
135294,-3,-3,-3,-3,-3,-3,-3
135337,-3,-3,-3,-3,-3,-3,-3
135364,24,-2,-2,-2,6,-2,51
135391,7,1,-1,2,1,4,40
135407,-3,-3,-3,-3,-3,-3,-3
135416,-3,-3,-3,-3,-3,-3,-3
135522,-3,-3,-3,-3,-3,-3,-3
135559,-3,-3,-3,-3,-3,-3,-3
135610,22,15,8,5,5,6,32
135647,-3,-3,-3,-3,-3,-3,-3
135717,12,2,-1,5,2,15,40
135726,15,11,14,13,5,16,15
135735,-3,-3,-3,-3,-3,-3,-3
135771,-3,-3,-3,-3,-3,-3,-3
135939,23,2,-1,9,2,6,54
135957,10,1,-1,4,1,2,-3
136048,-3,-3,-3,-3,-3,-3,-3
136066,14,2,-1,9,2,9,-3
136109,-3,-3,-3,-3,-3,-3,-3
136145,1,1,-1,1,1,2,40
136172,18,10,18,8,3,15,21
136206,29,-2,-2,-2,2,-2,-3
136215,16,13,18,7,6,15,16
136233,12,2,-1,5,2,12,40
136288,23,2,2,6,3,9,22
136303,-3,-3,-3,-3,-3,-3,-3
136330,19,13,11,11,4,11,21
136358,5,1,-1,1,1,5,40
136400,5,1,-1,2,1,4,40
136473,3,1,-1,2,1,4,40
136491,-3,-3,-3,-3,-3,-3,-3
136516,3,1,-1,1,1,4,40
136659,-3,-3,-3,-3,-3,-3,-3
136701,24,-2,-2,-2,7,-2,51
136765,-3,-3,-3,-3,-3,-3,-3
136774,30,-2,-2,-2,2,-2,56
136783,-3,-3,-3,-3,-3,-3,-3
136826,-3,-3,-3,-3,-3,-3,-3
136950,18,7,7,12,4,11,21
137023,-3,-3,-3,-3,-3,-3,-3
137032,18,13,10,7,4,16,22
137078,23,2,-1,5,2,15,40
137087,-3,-3,-3,-3,-3,-3,-3
137096,3,1,-1,2,1,4,40
137120,-3,-3,-3,-3,-3,-3,-3
137148,17,5,18,5,6,9,16
137209,4,1,-1,2,1,5,40
137245,-3,-3,-3,-3,-3,-3,-3
137272,24,-2,-2,-2,4,-2,51
137281,3,1,-1,1,1,3,40
137315,2,1,-1,1,1,2,40
137351,15,11,14,8,4,15,15
137476,18,13,8,9,5,9,21
137537,10,1,-1,2,1,1,-3
137546,18,10,8,10,5,14,21
137564,22,16,10,11,3,11,32
137591,-3,-3,-3,-3,-3,-3,-3
137713,-3,-3,-3,-3,-3,-3,-3
137759,3,1,-1,2,1,4,40
137777,24,-2,-2,-2,5,-2,51
137801,23,2,2,6,3,9,22
137810,23,2,2,6,3,6,22
137847,18,10,10,11,3,14,22
137856,-3,-3,-3,-3,-3,-3,-3
137865,-3,-3,-3,-3,-3,-3,-3
137953,24,-2,-2,-2,3,-2,31
137962,24,-2,-2,-2,2,-2,51
138132,-3,-3,-3,-3,-3,-3,-3
138187,7,1,-1,2,1,5,40
138275,20,16,10,9,4,7,32
138284,-3,-3,-3,-3,-3,-3,-3
138293,22,16,10,9,3,8,55
138309,23,2,-1,5,2,9,-3
138354,17,10,12,8,4,12,21
138372,-3,-3,-3,-3,-3,-3,-3
138479,-3,-3,-3,-3,-3,-3,-3
138488,-3,-3,-3,-3,-3,-3,-3
138497,-3,-3,-3,-3,-3,-3,-3
138558,12,2,-1,6,2,10,40
138600,21,3,1,10,3,8,31
138655,10,1,-1,4,1,1,40
138664,-3,-3,-3,-3,-3,-3,-3
138682,2,1,-1,3,1,3,-3
138691,2,1,-1,2,1,3,40
138716,19,13,9,9,3,13,21
138761,9,1,-1,4,1,1,40
138789,18,10,6,8,3,12,21
138813,30,-2,-2,-2,2,-2,40
138822,-3,-3,-3,-3,-3,-3,-3
138840,6,1,-1,2,1,3,-3
138868,22,12,-1,9,2,8,51
138901,6,1,-1,3,1,3,40
138929,31,-2,-2,-2,7,-2,-3
138938,-3,-3,-3,-3,-3,-3,-3
138947,17,13,15,9,4,13,16
138956,2,1,-1,2,1,3,40
139010,2,1,-1,2,1,3,40
139074,23,2,-1,6,2,10,40
139092,-3,-3,-3,-3,-3,-3,-3
139144,21,10,9,12,3,11,32
139153,24,-2,-2,-2,4,-2,51
139199,18,16,6,8,5,10,21
139205,22,9,-1,9,2,7,32
139214,10,0,-1,1,3,1,-3
139250,2,1,-1,2,1,3,40
139278,4,1,-1,1,1,3,40
139287,-3,-3,-3,-3,-3,-3,-3
139311,22,10,7,5,3,12,33
139348,24,-2,-2,-2,7,-2,51
139357,2,1,-1,2,1,3,40
